Employee_ID,Name,Department,Date_of_Joining,Age,Gender,Salary,Experience_Years,Last_Performance_Score,Attrition,City
1574,Caleb,Marketing,2029-07-21,58,Other,65724,0,3.1,No,Chennai
2612,Christopher,Marketing,2017-07-11,56,Male,55386,8,2.9,Yes,Chennai
2769,Dale,HR,2015-10-06,31,Male,86909,10,3.3,No,Bangalore
1201,Frank,Marketing,2016-05-31,34,Female,36725,9,3.1,No,Bangalore
1463,Eric,IT,2021-02-06,34,,98698,4,2.2,Yes,Mumbai
2777,Jeffrey,IT,2017-09-18,31,,30447,8,4.2,Yes,Chennai
1731,Christopher,Sales,2016-09-22,43,Male,65118,9,3.8,No,Hyderabad
2895,Michael,Sales,2025-04-01,24,Other,94820,0,2.4,Yes,Bangalore
1745,James,Marketing,2016-07-04,59,,44057,9,2.7,No,Chennai
2933,Alicia,HR ,2018-09-24,27,Male,54583,7,2.2,Yes,Delhi
2475,Renee,Sales,2021-09-02,26,,58368,4,2.6,Yes,Delhi
1379,Timothy,HR ,2018-11-01,52,,34930,7,2.7,No,Hyderabad
1577,Devin,IT,2017-01-16,28,Other,79462,8,4.3,No,Bangalore
1074,Victor,HR ,2016-10-25,54,Female,44080,9,,Yes,Mumbai
1882,Elizabeth,hr,2017-01-23,25,Other,64414,8,4.0,Yes,Mumbai
2368,Kyle,IT,2024-06-25,27,Other,49426,1,3.0,No,Chennai
1227,Brandon,Finance,2019-02-08,44,Female,73114,6,2.6,No,Delhi
1874,Charlene,Sales,2016-08-23,29,Male,113457,9,2.2,Yes,Mumbai
1544,Sean,IT,2025-06-19,22,,50056,0,2.2,No,Bangalore
2842,Travis,hr,2024-05-18,36,,113314,1,3.0,Yes,Bangalore
1342,Jenny,hr,2021-02-28,30,Other,32368,4,2.3,Yes,
1955,Jack,Finance,2018-01-07,36,Female,107509,7,3.8,No,Chennai
2036,Stephen,Sales,2025-09-15,28,Male,65214,0,2.5,No,
1601,Lori,IT,2025-02-07,55,Male,112928,0,4.9,No,Delhi
1282,Eric,HR ,2024-06-18,47,Female,47841,1,2.1,Yes,Chennai
2993,David,HR,2024-07-28,41,Male,47357,1,2.8,Yes,Delhi
1370,Evelyn,Sales,2019-10-01,45,Female,34314,6,3.2,No,Chennai
2738,Nicole,hr,2024-12-20,22,Female,45674,1,4.9,Yes,Mumbai
1266,Edgar,Finance,2023-06-24,46,Other,56526,2,3.5,No,Bangalore
1400,Douglas,hr,2021-07-22,27,Female,32608,4,4.4,Yes,Hyderabad
1589,Benjamin,HR,2018-05-18,51,Female,70873,7,4.3,Yes,Hyderabad
1807,Marcus,Sales,2019-05-25,39,Female,73844,6,4.9,Yes,
1811,Dan,HR,2022-11-10,45,,78058,3,2.6,Yes,Chennai
2165,Eric,Sales,2017-11-04,23,Other,108107,8,2.1,No,Delhi
